asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,product_availability,climate_pledge_friendly,sales_volume,delivery,has_variations,unit_price,unit_count,coupon_text
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00,$169.99,USD,4,1319,https://www.amazon.com/dp/B0BQ118F2T,https://m.media-amazon.com/images/I/61K1Fz5LxvL._AC_UY654_FMwebp_QL65_.jpg,16,$69.88,False,False,True,Only 1 left in stock - order soon.,False,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon.",False,,,
B0CV2W1TKZ,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",$153.99,,USD,4.2,186,https://www.amazon.com/dp/B0CV2W1TKZ,https://m.media-amazon.com/images/I/31bNhi6E3eL._AC_UY650_FMwebp_QL65_.jpg,4,$147.50,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00,$99.99,USD,3.8,597,https://www.amazon.com/dp/B09SM24S8C,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY654_FMwebp_QL65_.jpg,35,$64.99,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0CHH1N9VY,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,$49.99,,USD,4.2,2814,https://www.amazon.com/dp/B0CHH1N9VY,https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY654_FMwebp_QL65_.jpg,3,$43.99,False,False,True,,False,500+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$88.09,$98.27,USD,3.8,1338,https://www.amazon.com/dp/B09T3MQSVP,https://m.media-amazon.com/images/I/61xhaqnlKPL._AC_UY654_FMwebp_QL65_.jpg,31,$70.40,False,False,True,,False,500+ bought in past month,"FREE delivery Mon, Sep 30",False,,,
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99,$59.99,USD,4.4,3843,https://www.amazon.com/dp/B0BZG14KFJ,https://m.media-amazon.com/images/I/81nkYlfA5ZL._AC_UY654_FMwebp_QL65_.jpg,3,$25.19,False,True,True,,False,4K+ bought in past month,"FREE delivery Tue, Sep 24",False,$25.00,2.0,
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99,$249.99,USD,4.2,2637,https://www.amazon.com/dp/B0C2SWQBMB,https://m.media-amazon.com/images/I/61vgbLrWDyL._AC_UY654_FMwebp_QL65_.jpg,8,$100.72,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50,$158.00,USD,4.2,253,https://www.amazon.com/dp/B0CTD47P22,https://m.media-amazon.com/images/I/51QhB2CfqSL._AC_UY654_FMwebp_QL65_.jpg,9,$146.50,False,False,True,,False,500+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,$139.99,,USD,4.3,573,https://www.amazon.com/dp/B0CSB14R7J,https://m.media-amazon.com/images/I/515zGEaozeL._AC_UY654_FMwebp_QL65_.jpg,15,$136.62,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CHK6LWKZ,TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,$59.99,,USD,4,258,https://www.amazon.com/dp/B0CHK6LWKZ,https://m.media-amazon.com/images/I/812woqv69CL._AC_UY654_FMwebp_QL65_.jpg,4,$50.48,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0C5BMB1WB,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,$89.00,,USD,4,204,https://www.amazon.com/dp/B0C5BMB1WB,https://m.media-amazon.com/images/I/51JEsDX-ynL._AC_UY654_FMwebp_QL65_.jpg,10,$85.44,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CRVWPWKP,Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue,$195.00,,USD,4,259,https://www.amazon.com/dp/B0CRVWPWKP,https://m.media-amazon.com/images/I/51i2bWQ8xxL._AC_UY654_FMwebp_QL65_.jpg,15,$164.50,False,False,True,,False,400+ bought in past month,"FREE delivery Wed, Sep 25",True,,,
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$199.99,,USD,4,610,https://www.amazon.com/dp/B0CN1QSH8Q,https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_UY654_FMwebp_QL65_.jpg,2,$154.00,False,False,True,,True,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,$249.99,$299.99,USD,4.3,963,https://www.amazon.com/dp/B0C22BRGLG,https://m.media-amazon.com/images/I/616uMtIWiiL._AC_UY654_FMwebp_QL65_.jpg,5,$209.28,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B09NZQJRN7,"VTech DECT 6.0 Cordless Phone - Blue Display, Big Buttons, Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range - White/Grey",$18.45,,USD,4.3,9096,https://www.amazon.com/dp/B09NZQJRN7,https://m.media-amazon.com/images/I/71ESfaPl8IL._AC_UY654_FMwebp_QL65_.jpg,2,$13.84,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,,,
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$355.81,$415.00,USD,4.1,4265,https://www.amazon.com/dp/B09LKXHWCF,https://m.media-amazon.com/images/I/71uVYy3PbCL._AC_UY654_FMwebp_QL65_.jpg,20,$303.99,False,False,False,,True,500+ bought in past month,"FREE delivery Tomorrow, Sep 20",True,,,
B0CV2W1TKZ,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",$153.99,,USD,4.2,186,https://www.amazon.com/dp/B0CV2W1TKZ,https://m.media-amazon.com/images/I/31bNhi6E3eL._AC_UY650_FMwebp_QL65_.jpg,4,$147.50,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00,$169.99,USD,4,1319,https://www.amazon.com/dp/B0BQ118F2T,https://m.media-amazon.com/images/I/61K1Fz5LxvL._AC_UY654_FMwebp_QL65_.jpg,16,$69.88,False,False,True,Only 3 left in stock - order soon.,False,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 3 left in stock - order soon.",False,,,
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00,$99.99,USD,3.8,597,https://www.amazon.com/dp/B09SM24S8C,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY654_FMwebp_QL65_.jpg,35,$64.99,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0CHH1N9VY,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,$49.99,,USD,4.2,2814,https://www.amazon.com/dp/B0CHH1N9VY,https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY654_FMwebp_QL65_.jpg,3,$43.99,False,False,True,,False,500+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99,$59.99,USD,4.4,3843,https://www.amazon.com/dp/B0BZG14KFJ,https://m.media-amazon.com/images/I/81nkYlfA5ZL._AC_UY654_FMwebp_QL65_.jpg,3,$25.19,False,True,True,,False,4K+ bought in past month,"FREE delivery Tue, Sep 24",False,$25.00,2.0,
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99,$249.99,USD,4.2,2637,https://www.amazon.com/dp/B0C2SWQBMB,https://m.media-amazon.com/images/I/61vgbLrWDyL._AC_UY654_FMwebp_QL65_.jpg,8,$100.72,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50,$158.00,USD,4.2,253,https://www.amazon.com/dp/B0CTD47P22,https://m.media-amazon.com/images/I/51QhB2CfqSL._AC_UY654_FMwebp_QL65_.jpg,9,$146.50,False,False,True,,False,500+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,$139.99,,USD,4.3,573,https://www.amazon.com/dp/B0CSB14R7J,https://m.media-amazon.com/images/I/515zGEaozeL._AC_UY654_FMwebp_QL65_.jpg,15,$136.62,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CHK6LWKZ,TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,$59.99,,USD,4,258,https://www.amazon.com/dp/B0CHK6LWKZ,https://m.media-amazon.com/images/I/812woqv69CL._AC_UY654_FMwebp_QL65_.jpg,4,$50.48,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0C5BMB1WB,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,$89.00,,USD,4,204,https://www.amazon.com/dp/B0C5BMB1WB,https://m.media-amazon.com/images/I/51JEsDX-ynL._AC_UY654_FMwebp_QL65_.jpg,10,$85.44,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CRVWPWKP,Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue,$194.99,,USD,4,259,https://www.amazon.com/dp/B0CRVWPWKP,https://m.media-amazon.com/images/I/51i2bWQ8xxL._AC_UY654_FMwebp_QL65_.jpg,15,$164.50,False,False,True,,False,400+ bought in past month,"FREE delivery Wed, Sep 25",True,,,
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$199.99,,USD,4,610,https://www.amazon.com/dp/B0CN1QSH8Q,https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_UY654_FMwebp_QL65_.jpg,2,$154.00,False,False,True,,True,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,$249.99,$299.99,USD,4.3,963,https://www.amazon.com/dp/B0C22BRGLG,https://m.media-amazon.com/images/I/616uMtIWiiL._AC_UY654_FMwebp_QL65_.jpg,5,$209.28,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B09NZQJRN7,"VTech DECT 6.0 Cordless Phone - Blue Display, Big Buttons, Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range - White/Grey",$18.45,,USD,4.3,9096,https://www.amazon.com/dp/B09NZQJRN7,https://m.media-amazon.com/images/I/71ESfaPl8IL._AC_UY654_FMwebp_QL65_.jpg,2,$13.84,False,False,True,,False,2K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,,,
B085TCRFST,"Alcatel 1 (16GB) 5.0&quot; Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US &amp; Global 4G LTE International Version 5033E (Bluish Black)",$41.99,$44.70,USD,3.6,2048,https://www.amazon.com/dp/B085TCRFST,https://m.media-amazon.com/images/I/81wN2woIouL._AC_UY654_FMwebp_QL65_.jpg,7,$29.70,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",$269.99,$294.00,USD,3.9,2362,https://www.amazon.com/dp/B096T6Y623,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_UY654_FMwebp_QL65_.jpg,69,$244.99,False,False,True,,True,2K+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B0CMDL3H3V,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black",$798.00,$999.99,USD,4.5,615,https://www.amazon.com/dp/B0CMDL3H3V,https://m.media-amazon.com/images/I/71NngboUC6L._AC_UY654_FMwebp_QL65_.jpg,2,$741.99,False,False,True,,True,1K+ bought in past month,"$10.33 delivery Fri, Oct 4",True,,,
B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",$149.94,,USD,4.1,874,https://www.amazon.com/dp/B0CSB22F9C,https://m.media-amazon.com/images/I/51rp0nqaPoL._AC_UY654_FMwebp_QL65_.jpg,14,$123.70,False,False,True,Only 6 left in stock - order soon.,False,4K+ bought in past month,"FREE delivery Wed, Sep 25 Only 6 left in stock - order soon.",False,,,
B0D5T7318W,Bold K10 | 2024 | 3-Day Battery | Unlocked | 6.6” HD+ Infinity Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | Black,$99.99,,USD,3.6,17,https://www.amazon.com/dp/B0D5T7318W,https://m.media-amazon.com/images/I/716qo4kxJzL._AC_UY654_FMwebp_QL65_.jpg,6,$98.97,False,False,True,,False,200+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B086QCGQ8C,"AT&amp;T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",$78.95,,USD,4.3,27240,https://www.amazon.com/dp/B086QCGQ8C,https://m.media-amazon.com/images/I/81xDumBYGBL._AC_UY654_FMwebp_QL65_.jpg,3,$38.25,False,False,False,,False,3K+ bought in past month,FREE delivery,False,,,
B0CD99XXQY,"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint",$499.99,$599.99,USD,4.5,1159,https://www.amazon.com/dp/B0CD99XXQY,https://m.media-amazon.com/images/I/7126yDn-+jL._AC_UY654_FMwebp_QL65_.jpg,2,$451.19,False,False,True,,True,200+ bought in past month,"FREE delivery Wed, Sep 25",True,,,
B0CSF1MRRR,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,$89.99,$129.99,USD,3.9,92,https://www.amazon.com/dp/B0CSF1MRRR,https://m.media-amazon.com/images/I/71EAB02TrzL._AC_UY654_FMwebp_QL65_.jpg,5,$79.99,False,False,True,,False,300+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B0CJCTW1C5,Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,$59.99,,USD,3.3,70,https://www.amazon.com/dp/B0CJCTW1C5,https://m.media-amazon.com/images/I/71PGVVHz08L._AC_UY654_FMwebp_QL65_.jpg,2,$57.44,False,False,True,,False,1K+ bought in past month,"FREE delivery Tue, Sep 24",False,,,
B08H8VZ6PV,Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,$159.00,,USD,4.3,2927,https://www.amazon.com/dp/B08H8VZ6PV,https://m.media-amazon.com/images/I/71C0OH4WfpL._AC_UY654_FMwebp_QL65_.jpg,18,$153.28,False,False,True,,False,500+ bought in past month,"FREE delivery Tue, Sep 24",True,,,
B01H1E3EAA,"AT&amp;T TRIMLINE 213 Corded Home Phone with Extra Big Buttons &amp; Visual Ringer. No AC Power Required, Improved Easy-Wall-Mount, Lighted Keypad, 10 Speed Dial Keys, Volume Control, Senior Friendly. White",$17.56,$19.95,USD,4.4,315,https://www.amazon.com/dp/B01H1E3EAA,https://m.media-amazon.com/images/I/71ghdMRVcbL._AC_UY654_FMwebp_QL65_.jpg,2,$13.28,False,False,True,,False,900+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,,,
B08L34JQ9C,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",$166.99,,USD,3.9,7272,https://www.amazon.com/dp/B08L34JQ9C,https://m.media-amazon.com/images/I/51IRxly2xcL._AC_UY654_FMwebp_QL65_.jpg,53,$134.85,False,False,True,,True,2K+ bought in past month,"FREE delivery Fri, Sep 27",True,,,
